name,temp,humidity,precip,precipcover,windgust,solarradiation,solarenergy,uvindex,O3,SO2
bangkok,26.4,61.7,0.0,0.0,37.1,106.8,9.4,6,22.0,1.6206896551724137
bangkok,26.6,61.9,0.0,0.0,26.166666666666668,100.4,8.6,5,17.0,1.1851851851851851
bangkok,26.8,62.3,0.0,0.0,24.061111111111114,104.0,9.0,5,18.0,1.8235294117647058
bangkok,27.6,63.7,0.0,0.0,23.232499999999998,90.2,7.9,5,21.0,1.0
bangkok,28.1,59.0,0.0,0.0,19.385714285714286,127.3,10.8,5,23.0,1.0
bangkok,28.4,56.3,0.0,0.0,24.705319148936173,110.4,9.6,5,20.0,1.0
bangkok,28.5,59.0,0.0,0.0,33.5,111.6,9.6,5,19.0,1.0
bangkok,29.0,55.3,0.0,0.0,22.78,110.6,9.5,5,20.0,1.0
bangkok,28.6,55.2,0.0,0.0,22.791999999999998,109.4,9.5,5,23.0,1.0
bangkok,28.8,54.9,0.0,0.0,31.7,111.0,9.4,5,21.0,1.0
bangkok,28.7,57.6,0.0,0.0,25.72083333333333,112.2,9.8,5,19.0,1.4482758620689655
bangkok,28.3,64.5,0.0,0.0,29.02777777777778,108.2,9.3,5,22.0,1.6206896551724137
bangkok,28.6,62.0,0.0,0.0,18.4,120.2,10.3,6,21.0,1.2222222222222223
bangkok,28.2,66.1,0.0,0.0,28.266666666666666,113.5,9.7,5,25.0,1.434782608695652
bangkok,28.1,63.2,0.0,0.0,22.791999999999998,117.0,10.2,6,23.0,1.0
bangkok,28.1,63.9,0.0,0.0,19.06,115.3,9.9,5,20.0,1.625
bangkok,28.2,62.6,0.0,0.0,18.423529411764704,110.7,9.6,5,18.0,1.0
bangkok,28.7,54.0,0.0,0.0,28.266666666666666,103.7,8.9,5,19.0,1.4482758620689655
bangkok,27.9,56.5,0.0,0.0,35.3,230.2,19.9,8,25.0,1.434782608695652
bangkok,27.9,61.0,0.0,0.0,21.2,247.1,21.3,8,12.0,1.125
bangkok,27.6,72.3,0.193,12.5,27.0,92.2,7.9,5,7.0,22.541666666666668
bangkok,26.8,78.9,24.058,25.0,29.2,79.6,6.9,3,15.0,2.0
bangkok,27.9,70.3,0.008,4.17,24.8,122.8,10.6,5,15.0,2.0
bangkok,28.1,69.3,0.0,0.0,23.8,101.2,8.8,5,19.0,1.4482758620689655
bangkok,28.6,66.9,0.0,0.0,18.0,126.8,11.2,6,14.0,1.25
bangkok,28.4,70.8,0.0,0.0,20.5,98.6,8.5,6,12.0,1.125
bangkok,27.3,80.3,9.762,12.5,20.9,80.3,6.8,5,11.0,1.894736842105263
bangkok,28.5,77.3,0.0,0.0,25.2,98.6,8.5,5,16.0,1.4242424242424243
bangkok,29.3,73.6,0.0,0.0,29.2,135.3,11.6,6,12.0,1.125
bangkok,29.8,62.3,0.0,0.0,30.6,153.0,13.3,7,9.0,3.342857142857143
bangkok,28.9,71.5,0.0,0.0,31.3,139.3,11.9,6,10.0,1.9230769230769231
bangkok,28.9,72.9,0.0,0.0,32.0,126.7,11.0,5,9.0,3.342857142857143
bangkok,29.1,71.9,0.0,0.0,28.1,109.5,9.4,5,10.0,1.9230769230769231
bangkok,28.7,73.6,3.878,12.5,22.7,125.1,10.9,7,14.0,1.25
bangkok,28.2,76.1,46.898,8.33,18.7,131.3,11.2,6,14.0,1.25
bangkok,28.0,69.4,0.0,0.0,27.0,130.3,11.2,5,22.0,1.6206896551724137
bangkok,28.1,59.7,0.0,0.0,28.5734693877551,151.5,13.1,6,27.0,1.0
bangkok,29.2,61.1,0.0,0.0,19.06,199.0,17.0,7,19.0,1.0
bangkok,29.9,66.5,0.0,0.0,23.4,119.9,10.4,6,20.0,1.625
bangkok,29.0,76.5,3.872,4.17,25.6,72.6,6.5,4,18.0,1.8235294117647058
bangkok,28.3,79.6,14.674,12.5,25.6,84.9,7.4,4,17.0,1.1851851851851851
bangkok,28.5,76.8,0.014,4.17,20.9,86.7,7.5,3,14.0,1.0
bangkok,27.9,81.1,1.987,16.67,48.2,79.4,6.7,3,11.0,1.894736842105263
bangkok,28.6,78.7,0.0,0.0,24.5,100.4,8.6,4,7.0,22.541666666666668
bangkok,27.4,82.8,8.385,12.5,24.1,124.3,10.6,6,8.0,3.5185185185185186
