name,date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,weather,description,icon,stations,PM25,PM10,O3,NO2,SO2,CO
bangkok,2022-01-01,30.1,22.0,26.4,30.9,22.0,26.8,18.2,61.7,0.0,0,0.0,,,,37.1,13.4,48.4,1015.4,34.4,10.0,106.8,9.4,6,,2022-01-01T06:41:34,2022-01-01T18:01:21,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,E4214,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999",75.0,35.0,22.0,,,
bangkok,2022-01-02,30.6,22.2,26.6,32.3,22.2,27.0,18.5,61.9,0.0,0,0.0,,,,,16.5,42.6,1014.7,32.2,10.0,100.4,8.6,5,,2022-01-02T06:41:57,2022-01-02T18:01:55,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,E4214,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999",75.0,40.0,17.0,,,
bangkok,2022-01-03,31.2,23.0,26.8,32.6,23.0,27.5,18.8,62.3,0.0,0,0.0,,,,,14.9,41.6,1013.2,37.8,10.0,104.0,9.0,5,,2022-01-03T06:42:18,2022-01-03T18:02:29,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,E4214,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999",82.0,51.0,18.0,,,
bangkok,2022-01-04,32.3,24.2,27.6,34.3,24.2,28.6,19.9,63.7,0.0,0,0.0,,,,,13.4,13.0,1013.1,39.9,10.0,90.2,7.9,5,,2022-01-04T06:42:39,2022-01-04T18:03:04,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,E4214,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999",101.0,59.0,21.0,,1.0,
bangkok,2022-01-05,33.7,23.7,28.1,34.8,23.7,28.7,18.8,59.0,0.0,0,0.0,,,,,10.7,16.8,1012.4,36.6,9.8,127.3,10.8,5,,2022-01-05T06:42:59,2022-01-05T18:03:38,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,E4214,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999",112.0,56.0,23.0,,1.0,
bangkok,2022-01-06,34.1,23.2,28.4,34.1,23.2,28.7,18.1,56.3,0.0,0,0.0,,,,,14.8,51.1,1012.4,29.2,9.8,110.4,9.6,5,,2022-01-06T06:43:17,2022-01-06T18:04:13,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,E4214,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999",113.0,64.0,20.0,,1.0,
bangkok,2022-01-07,33.8,22.5,28.5,35.3,22.5,29.2,19.1,59.0,0.0,0,0.0,,,,33.5,14.3,70.7,1013.2,26.1,9.5,111.6,9.6,5,,2022-01-07T06:43:35,2022-01-07T18:04:47,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,E4214,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999",129.0,58.0,19.0,,1.0,
bangkok,2022-01-08,34.3,24.2,29.0,34.6,24.2,29.6,18.6,55.3,0.0,0,0.0,,,,,13.0,64.3,1013.1,30.9,10.0,110.6,9.5,5,,2022-01-08T06:43:52,2022-01-08T18:05:22,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,E4214,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999",103.0,56.0,20.0,,1.0,
bangkok,2022-01-09,33.8,23.7,28.6,34.1,23.7,28.8,17.9,55.2,0.0,0,0.0,,,,,14.3,73.9,1011.8,27.3,9.6,109.4,9.5,5,,2022-01-09T06:44:08,2022-01-09T18:05:56,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,E4214,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999",117.0,76.0,23.0,,1.0,
bangkok,2022-01-10,34.5,23.0,28.8,36.5,23.0,29.1,17.8,54.9,0.0,0,0.0,,0.0,0.0,31.7,11.6,140.2,1012.2,13.2,9.3,111.0,9.4,5,10.0,2022-01-10T06:44:23,2022-01-10T18:06:31,0.25,Clear,Clear conditions throughout the day.,clear-day,"48429099999,E4214,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999",117.0,61.0,21.0,,1.0,
bangkok,2022-01-11,34.5,23.5,28.7,34.7,23.5,29.3,18.6,57.6,0.0,0,0.0,,0.0,0.0,14.4,16.1,116.1,1012.5,24.6,9.2,112.2,9.8,5,10.0,2022-01-11T06:44:37,2022-01-11T18:07:05,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,E4214,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999",104.0,52.0,19.0,,,
bangkok,2022-01-12,32.9,24.2,28.3,35.2,24.2,29.5,20.5,64.5,0.0,0,0.0,rain,0.0,0.0,13.0,17.5,86.8,1013.2,32.8,9.0,108.2,9.3,5,10.0,2022-01-12T06:44:50,2022-01-12T18:07:39,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,E4214,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999",99.0,49.0,22.0,,,
bangkok,2022-01-13,33.8,24.2,28.6,34.6,24.2,29.7,19.9,62.0,0.0,0,0.0,,0.0,0.0,18.4,17.5,130.4,1013.3,31.1,9.6,120.2,10.3,6,10.0,2022-01-13T06:45:02,2022-01-13T18:08:14,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,E4214,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999",94.0,46.0,21.0,,,
bangkok,2022-01-14,32.9,24.0,28.2,34.3,24.0,29.2,20.5,66.1,0.0,0,0.0,,0.0,0.0,15.1,17.0,100.8,1013.5,30.6,9.1,113.5,9.7,5,10.0,2022-01-14T06:45:13,2022-01-14T18:08:47,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,E4214,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999",85.0,48.0,25.0,,,
bangkok,2022-01-15,33.8,23.2,28.1,34.4,23.2,28.6,19.5,63.2,0.0,0,0.0,,0.0,0.0,15.5,14.3,122.9,1013.0,29.9,9.4,117.0,10.2,6,10.0,2022-01-15T06:45:22,2022-01-15T18:09:21,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,E4214,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999",94.0,52.0,23.0,,1.0,
bangkok,2022-01-16,33.0,24.0,28.1,34.2,24.0,28.8,19.9,63.9,0.0,0,0.0,,0.0,0.0,14.4,12.5,124.1,1013.0,30.3,9.2,115.3,9.9,5,10.0,2022-01-16T06:45:31,2022-01-16T18:09:54,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,E4214,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999",101.0,58.0,20.0,,,
bangkok,2022-01-17,33.3,23.0,28.2,34.4,23.0,29.0,19.7,62.6,0.0,0,0.0,,0.0,0.0,10.1,12.1,56.5,1012.8,32.1,9.0,110.7,9.6,5,10.0,2022-01-17T06:45:39,2022-01-17T18:10:28,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,E4214,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999",120.0,59.0,18.0,,1.0,
bangkok,2022-01-18,33.6,23.5,28.7,34.7,23.5,29.1,18.0,54.0,0.0,0,0.0,,0.0,0.0,15.8,17.0,95.1,1012.4,29.9,9.5,103.7,8.9,5,10.0,2022-01-18T06:45:45,2022-01-18T18:11:00,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,E4214,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999",110.0,48.0,19.0,,,
bangkok,2022-01-19,32.2,23.5,27.9,33.5,23.5,28.5,18.1,56.5,0.0,0,0.0,,0.0,0.0,35.3,17.9,93.1,1011.5,30.6,9.7,230.2,19.9,8,10.0,2022-01-19T06:45:51,2022-01-19T18:11:33,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,E4214,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999",85.0,55.0,25.0,,,
bangkok,2022-01-20,32.8,23.2,27.9,34.7,23.2,29.0,19.4,61.0,0.0,0,0.0,,0.0,0.0,21.2,21.3,127.6,1010.5,34.8,9.9,247.1,21.3,8,10.0,2022-01-20T06:45:55,2022-01-20T18:12:05,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999",102.0,35.0,12.0,,,
bangkok,2022-01-21,30.4,25.0,27.6,33.3,25.0,29.4,22.0,72.3,0.193,100,12.5,rain,0.0,0.0,27.0,22.7,157.1,1010.7,50.4,10.0,92.2,7.9,5,10.0,2022-01-21T06:45:58,2022-01-21T18:12:37,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"48429099999,E4214,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999",67.0,26.0,7.0,,,
bangkok,2022-01-22,30.9,24.0,26.8,34.5,24.0,28.3,22.7,78.9,24.058,100,25.0,rain,0.0,0.0,29.2,14.3,168.1,1009.4,49.3,9.6,79.6,6.9,3,10.0,2022-01-22T06:46:00,2022-01-22T18:13:08,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48429099999,E4214,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999",57.0,24.0,15.0,,,
